@RELATION svmMusicGenre3
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {hamza,talha,umar}

@DATA
0.177713,0.025017,2.915755,0.274975,0.253846,1.455758,0.015641,0.299594,-26.097520,2.504416,0.285585,-0.055250,-0.218953,0.165848,0.100578,0.152198,0.076127,-0.012122,0.035516,0.060833,-0.031464,0.014095,0.005768,0.016171,0.013141,0.048313,0.016836,0.042990,0.003788,0.004349,0.011400,0.018131,0.013714,0.022527,0.114912,0.022789,0.475574,0.091576,0.042421,0.752649,0.010609,0.243609,2.713533,1.030584,0.793847,0.495880,0.439197,0.440990,0.312419,0.278557,0.270936,0.237401,0.220153,0.220091,0.190251,0.014801,0.007996,0.015492,0.012921,0.038481,0.021312,0.029684,0.007574,0.005545,0.011483,0.018383,0.017708,0.011240,300.000000,0.106796,hamza
0.205074,0.016543,2.892310,0.307809,0.257388,1.689798,0.013793,0.383717,-28.257070,1.884799,0.117000,0.040812,-0.113306,0.209189,0.009441,0.060638,0.008669,-0.044363,0.006445,0.081424,0.020648,0.010367,0.005181,0.020487,0.014990,0.042990,0.018548,0.032426,0.003805,0.005931,0.014668,0.016185,0.008134,0.020509,0.098318,0.020994,0.463466,0.076636,0.035163,0.673582,0.009265,0.210239,3.635720,0.923919,0.731358,0.527028,0.419307,0.378247,0.290391,0.284983,0.248027,0.245456,0.223242,0.204657,0.212695,0.010622,0.006730,0.018042,0.015562,0.036331,0.020812,0.023547,0.005627,0.006562,0.015952,0.014579,0.010269,0.010891,150.000000,0.096703,hamza
0.197885,0.014990,2.924914,0.292922,0.245267,1.667699,0.015838,0.363047,-28.599137,2.029654,0.025789,0.099898,-0.083156,0.138088,0.084333,0.088294,-0.055527,-0.005972,-0.009435,0.060501,0.003332,0.010516,0.005060,0.021351,0.016493,0.044809,0.020356,0.029613,0.003257,0.006699,0.014938,0.015216,0.006943,0.021193,0.095982,0.017710,0.440768,0.081090,0.036382,0.676140,0.016728,0.203159,3.327217,0.986630,0.659713,0.441199,0.425877,0.353107,0.277624,0.276115,0.246885,0.250246,0.228439,0.234566,0.198749,0.011426,0.006116,0.019205,0.016854,0.037945,0.023976,0.021843,0.005080,0.006978,0.014838,0.013132,0.008643,0.011239,240.000000,0.114407,hamza
0.189293,0.020477,2.905532,0.287123,0.247222,1.518661,0.016441,0.319024,-27.703752,2.191212,0.154469,0.061013,-0.171398,0.137153,0.044080,0.078640,-0.007158,-0.067918,0.003782,0.056579,0.038480,0.013092,0.006874,0.017811,0.017677,0.045645,0.023964,0.035351,0.003303,0.005908,0.012548,0.016086,0.008571,0.023386,0.104436,0.024636,0.488753,0.084761,0.036275,0.730818,0.010779,0.215397,3.209470,1.041934,0.682301,0.490877,0.401043,0.398767,0.311717,0.272263,0.253868,0.223549,0.223707,0.219353,0.202933,0.015082,0.010053,0.018276,0.019779,0.037135,0.026627,0.025656,0.006396,0.007256,0.014300,0.015588,0.011212,0.012243,240.000000,0.124777,hamza
0.190897,0.017396,2.870725,0.281785,0.243377,1.502634,0.017638,0.330505,-27.699025,2.218096,0.108831,0.048494,-0.203910,0.109714,0.104134,0.102223,-0.057400,-0.070117,0.000971,0.042344,0.032514,0.011396,0.006085,0.017867,0.018848,0.050138,0.023679,0.032175,0.002721,0.004865,0.010348,0.015661,0.008489,0.023068,0.103232,0.018922,0.501965,0.087340,0.041527,0.747794,0.013521,0.218074,3.021450,1.051080,0.797499,0.514599,0.429483,0.388182,0.303609,0.287393,0.278669,0.271093,0.220739,0.230742,0.225562,0.011523,0.008422,0.017215,0.019850,0.039358,0.025900,0.023536,0.004172,0.005682,0.010161,0.016064,0.013086,0.011866,240.000000,0.122642,hamza
0.200063,0.016562,2.760862,0.267084,0.225114,1.548711,0.015560,0.327925,-26.400624,2.238837,0.073121,0.266144,-0.273903,0.088185,-0.030641,-0.008167,-0.044878,0.098716,-0.112397,-0.001945,0.040682,0.033084,0.005913,0.045280,0.014283,0.017656,0.015754,0.022568,0.003930,0.010675,0.009922,0.020238,0.010220,0.021263,0.097012,0.017025,0.441580,0.079385,0.039606,0.688658,0.010377,0.195324,2.337316,0.998833,0.877901,0.435621,0.530403,0.370032,0.379296,0.272280,0.273510,0.236766,0.236443,0.210491,0.195560,0.033602,0.007771,0.035756,0.015925,0.015601,0.017640,0.015773,0.005967,0.012276,0.009416,0.017803,0.013111,0.010836,300.000000,0.096923,talha
0.177485,0.022397,2.803329,0.256153,0.229666,1.390812,0.017093,0.294437,-26.205848,2.483179,0.214790,0.089873,-0.220133,0.142402,-0.033673,0.061305,-0.059529,0.037025,-0.113354,0.018175,-0.068988,0.041019,0.007030,0.052996,0.015005,0.023111,0.013537,0.020176,0.003376,0.006867,0.010549,0.020664,0.011710,0.025469,0.106940,0.020214,0.455275,0.092335,0.041426,0.770480,0.011299,0.237504,2.319839,1.029244,0.732116,0.434735,0.485114,0.435637,0.321337,0.292996,0.295148,0.230581,0.234461,0.231612,0.206897,0.040736,0.010344,0.041723,0.015719,0.022464,0.016335,0.016137,0.005763,0.008356,0.009420,0.020191,0.015848,0.013952,300.000000,0.108300,talha
0.181933,0.014945,2.751453,0.268597,0.231199,1.420818,0.017567,0.317162,-26.987995,2.229205,0.157298,0.087995,-0.381918,0.254171,0.039899,0.028889,-0.000809,-0.058873,-0.074750,-0.064634,-0.048106,0.040182,0.007046,0.049063,0.015538,0.018152,0.012006,0.024281,0.003119,0.007497,0.011827,0.021348,0.009840,0.027000,0.107208,0.016347,0.518625,0.091286,0.039198,0.745501,0.012373,0.229619,2.631256,1.037772,0.674040,0.473817,0.623672,0.447651,0.348050,0.288366,0.263753,0.255554,0.232325,0.214302,0.203662,0.043636,0.008784,0.044291,0.016013,0.015208,0.016284,0.019594,0.004735,0.009127,0.013446,0.019955,0.012480,0.016136,171.428571,0.091075,talha
0.184212,0.018423,2.735411,0.264485,0.225399,1.384225,0.018883,0.297171,-26.208898,2.376729,-0.047647,-0.078098,-0.328849,0.265973,0.056661,0.017313,-0.078002,-0.014300,-0.163044,-0.039435,0.018541,0.040073,0.006366,0.039545,0.016884,0.019913,0.013454,0.020998,0.004477,0.007402,0.009162,0.020218,0.013351,0.024247,0.109960,0.019337,0.501518,0.094770,0.042926,0.684660,0.012614,0.224525,2.340472,1.023664,0.861496,0.513351,0.588683,0.486754,0.384417,0.317214,0.283263,0.273151,0.251518,0.235748,0.224113,0.043920,0.008314,0.040682,0.019758,0.020760,0.015613,0.017928,0.007242,0.009475,0.008771,0.017993,0.019005,0.014809,240.000000,0.099398,talha
0.163623,0.025318,2.799644,0.242584,0.220992,1.258142,0.021476,0.258583,-26.058114,2.529122,0.118374,0.147684,-0.125963,0.275543,-0.020072,0.035650,-0.133135,0.003364,-0.072926,-0.007934,-0.003866,0.029751,0.005422,0.048757,0.022694,0.033000,0.015426,0.023569,0.005064,0.007209,0.010222,0.019538,0.007863,0.026223,0.100971,0.029404,0.445413,0.089363,0.042266,0.761490,0.021746,0.210054,2.426586,1.025387,0.802666,0.450484,0.498854,0.444849,0.348809,0.298500,0.280660,0.248201,0.255822,0.222318,0.206837,0.033781,0.008932,0.044055,0.029262,0.033759,0.019517,0.019515,0.008721,0.010025,0.010439,0.019477,0.012229,0.013668,300.000000,0.106796,talha
0.206286,0.018746,2.854342,0.279177,0.245359,1.437691,0.018266,0.325208,-26.011536,2.312810,0.283903,-0.064972,-0.362976,-0.043483,0.110330,0.036206,0.040824,0.001354,-0.014289,0.044886,-0.025604,0.026462,0.006930,0.036678,0.012671,0.021873,0.012330,0.020641,0.002495,0.011747,0.014264,0.029271,0.010112,0.022126,0.123942,0.021616,0.380566,0.103275,0.039454,0.766077,0.017560,0.262574,1.826086,1.041475,0.569760,0.421255,0.487754,0.352862,0.334269,0.255713,0.259222,0.215729,0.215150,0.179685,0.177592,0.029909,0.008766,0.029036,0.014209,0.023779,0.015692,0.019460,0.004160,0.017087,0.014623,0.028277,0.015357,0.010821,200.000000,0.099338,umar
0.089050,0.028716,2.981621,0.205389,0.237008,0.645407,0.017395,0.152327,-26.851605,2.801015,1.020843,0.084686,0.006879,0.268649,0.177385,0.149595,0.035617,-0.056210,0.003787,0.049472,0.027412,0.022709,0.002514,0.091448,0.014322,0.044447,0.003905,0.091378,0.000452,0.004352,0.009292,0.017878,0.001842,0.045300,0.082539,0.021306,0.208037,0.088081,0.049042,0.452926,0.022972,0.169813,2.640881,0.705273,0.516325,0.436317,0.323884,0.296652,0.241950,0.207678,0.208592,0.231434,0.175673,0.187359,0.159986,0.020835,0.003846,0.051392,0.012196,0.028335,0.004381,0.074326,0.000587,0.005879,0.009758,0.015387,0.002696,0.014532,300.000000,0.110497,umar
0.088931,0.015467,2.965052,0.181350,0.207043,0.776752,0.018787,0.153583,-27.448968,2.995334,0.339675,0.464771,-0.075135,0.187636,0.334348,-0.019899,0.010036,0.034979,-0.143320,0.078959,-0.018838,0.027060,0.004044,0.086637,0.016338,0.037818,0.004913,0.082818,0.001272,0.006020,0.009764,0.019850,0.002590,0.040675,0.051823,0.015137,0.260264,0.061472,0.042713,0.483887,0.023254,0.133492,2.664288,0.704350,0.551868,0.343786,0.276858,0.269066,0.249038,0.226562,0.212910,0.195275,0.184139,0.178043,0.174697,0.023787,0.006269,0.048244,0.019674,0.031979,0.004775,0.066384,0.002051,0.007110,0.010295,0.017567,0.003822,0.012827,200.000000,0.140299,umar
